Datetime,Cr_sum_disp_ext1,Cr_sum_disp_ext2,CDD_Step_roof,CDD_Step_facade,Air_Temp_roof,Air_Temp_facade,RT_Delta,Cr_disp_ext1,Cr_disp_ext2
2019-05-27,-89.0,-117.0,20.397916666666667,22.808749999999996,38.39791666666667,38.39791666666667,2.237499999999997,0.0,-5.0
2019-05-28,-89.0,-118.0,22.090416666666663,22.779375,40.09041666666666,40.09041666666666,2.2166666666666615,0.0,-1.0
2019-05-29,-87.0,-117.0,22.200833333333335,22.470416666666665,40.200833333333335,40.200833333333335,2.1958333333333364,2.0,1.0
2019-05-30,-101.0,-125.0,22.394375000000004,23.236041666666665,40.394375000000004,40.394375000000004,2.4208333333333343,-14.0,-8.0
2019-05-31,-115.0,-134.0,21.354374999999997,23.592708333333334,39.354375,39.354375,2.537499999999998,-14.0,-9.0
2019-06-01,-114.0,-138.0,18.268750000000004,23.436458333333334,36.268750000000004,36.268750000000004,2.4708333333333314,1.0,-4.0
2019-06-02,-113.0,-138.0,17.23625,23.291249999999998,35.23625,35.23625,2.4875000000000007,1.0,0.0
2019-06-03,-113.0,-140.0,17.042499999999997,23.820416666666667,35.0425,35.0425,2.6625000000000014,0.0,-2.0
2019-06-04,-131.0,-149.0,17.36541666666667,24.479374999999997,35.36541666666667,35.36541666666667,2.791666666666668,-18.0,-9.0
2019-06-05,-130.0,-158.0,18.156458333333333,24.073124999999997,36.15645833333333,36.15645833333333,2.7250000000000014,1.0,-9.0
2019-06-06,-131.0,-157.0,18.454583333333332,23.755833333333335,36.45458333333333,36.45458333333333,2.599999999999998,-1.0,1.0
2019-06-07,-131.0,-157.0,18.192708333333336,22.108333333333334,36.192708333333336,36.192708333333336,2.2916666666666643,0.0,0.0
2019-06-08,-132.0,-156.0,18.59583333333333,20.079583333333332,36.59583333333333,36.59583333333333,2.0434782608695663,-1.0,1.0
2019-06-09,-132.0,-155.0,18.807499999999997,20.104166666666664,36.8075,36.8075,1.99583333333333,0.0,1.0
2019-06-10,-132.0,-154.0,19.282083333333333,20.261874999999996,37.28208333333333,37.28208333333333,1.9874999999999972,0.0,1.0
2019-06-11,-132.0,-154.0,18.311666666666667,20.80833333333333,36.31166666666667,36.31166666666667,2.0291666666666686,0.0,0.0
2019-06-12,-132.0,-154.0,19.649583333333332,21.251875,37.64958333333333,37.64958333333333,2.1125000000000007,0.0,0.0
2019-06-13,-131.0,-154.0,20.964999999999996,20.782708333333332,38.964999999999996,38.964999999999996,2.0791666666666657,1.0,0.0
2019-06-14,-131.0,-154.0,19.017291666666665,20.49791666666667,37.017291666666665,37.017291666666665,1.9958333333333336,0.0,0.0
2019-06-15,-130.0,-154.0,19.429791666666667,20.498958333333334,37.42979166666667,37.42979166666667,2.054166666666667,1.0,0.0
2019-06-16,-130.0,-154.0,19.548541666666665,20.852708333333332,37.548541666666665,37.548541666666665,2.0541666666666636,0.0,0.0
2019-06-17,-155.0,-154.0,20.887499999999996,21.635416666666664,38.887499999999996,38.887499999999996,2.1541666666666686,-25.0,0.0
2019-06-18,-155.0,-154.0,21.117916666666666,21.86416666666667,39.117916666666666,39.117916666666666,2.1791666666666707,0.0,0.0
2019-06-19,-155.0,-163.0,20.768958333333337,22.34166666666667,38.76895833333334,38.76895833333334,2.3416666666666615,0.0,-9.0
2019-06-20,-154.0,-164.0,19.550000000000004,23.46125,37.550000000000004,37.550000000000004,2.474999999999998,1.0,-1.0
2019-06-21,-154.0,-164.0,19.265625,22.976666666666667,37.265625,37.265625,2.44166666666667,0.0,0.0
2019-06-22,-154.0,-164.0,19.926458333333336,21.228541666666665,37.926458333333336,37.926458333333336,2.183333333333337,0.0,0.0
2019-06-23,-154.0,-164.0,20.098750000000003,21.613333333333337,38.09875,38.09875,2.166666666666668,0.0,0.0
2019-06-24,-174.0,-165.0,19.771250000000002,22.093541666666667,37.77125,37.77125,2.2541666666666664,-20.0,-1.0
2019-06-25,-173.0,-168.0,18.529791666666668,22.986875000000005,36.52979166666667,36.52979166666667,2.4291666666666636,1.0,-3.0
2019-06-26,-187.0,-173.0,18.34854166666667,23.632708333333333,36.34854166666667,36.34854166666667,2.5458333333333343,-14.0,-5.0
2019-06-27,-187.0,-173.0,18.590624999999996,23.79,36.590624999999996,36.590624999999996,2.587499999999995,0.0,0.0
2019-06-28,-186.0,-173.0,18.98729166666667,23.711041666666667,36.98729166666667,36.98729166666667,2.5291666666666686,1.0,0.0
2019-06-29,-187.0,-174.0,18.854791666666664,22.470625,36.854791666666664,36.854791666666664,2.339130434782607,-1.0,-1.0
2019-06-30,-186.0,-174.0,20.012916666666662,22.096041666666665,38.01291666666666,38.01291666666666,2.3208333333333293,1.0,0.0
2019-07-01,-186.0,-174.0,20.12083333333333,22.411458333333336,38.12083333333333,38.12083333333333,2.3708333333333336,0.0,0.0
2019-07-02,-186.0,-174.0,20.66041666666667,22.73791666666667,38.66041666666667,38.66041666666667,2.3916666666666657,0.0,0.0
2019-07-03,-186.0,-174.0,20.48854166666667,21.88104166666667,38.48854166666667,38.48854166666667,2.3041666666666707,0.0,0.0
2019-07-04,-186.0,-174.0,19.442500000000003,21.52916666666667,37.4425,37.4425,2.279166666666665,0.0,0.0
2019-07-05,-185.0,-174.0,20.25875,20.699374999999996,38.25875,38.25875,2.2541666666666664,1.0,0.0
2019-07-06,-186.0,-174.0,20.954166666666666,21.051458333333336,38.954166666666666,38.954166666666666,2.150000000000002,-1.0,0.0
2019-07-07,-185.0,-174.0,22.317708333333336,21.858125,40.317708333333336,40.317708333333336,2.224999999999998,1.0,0.0
2019-07-08,-185.0,-174.0,22.362708333333337,21.880625000000002,40.36270833333334,40.36270833333334,2.183333333333337,0.0,0.0
2019-07-09,-185.0,-173.0,20.759999999999998,21.610625,38.76,38.76,2.208333333333332,0.0,1.0
2019-07-10,-185.0,-173.0,19.131458333333335,22.105416666666663,37.131458333333335,37.131458333333335,2.275000000000002,0.0,0.0
2019-07-11,-205.0,-179.0,18.909375000000004,22.73854166666667,36.909375000000004,36.909375000000004,2.3915833333333367,-20.0,-6.0
2019-07-12,-204.0,-179.0,18.800625000000004,23.141041666666666,36.800625000000004,36.800625000000004,2.516458333333329,1.0,0.0
2019-07-13,-217.0,-191.0,19.038125,23.51791666666667,37.038125,37.038125,2.5539583333333304,-13.0,-12.0
2019-07-14,-218.0,-191.0,18.867708333333333,22.478541666666665,36.86770833333333,36.86770833333333,2.403833333333335,-1.0,0.0
2019-07-15,-217.0,-191.0,18.706875000000004,22.647291666666668,36.706875000000004,36.706875000000004,2.3291666666666657,1.0,0.0
2019-07-16,-216.0,-190.0,19.152291666666663,23.217708333333334,37.15229166666666,37.15229166666666,2.4247083333333315,1.0,1.0
2019-07-17,-216.0,-191.0,19.35583333333333,24.274583333333332,37.35583333333333,37.35583333333333,2.654041666666668,0.0,-1.0
2019-07-18,-215.0,-193.0,19.104999999999997,24.620624999999997,37.105,37.105,2.7415416666666665,1.0,-2.0
2019-07-19,-216.0,-194.0,20.171875,24.355416666666663,38.171875,38.171875,2.6791666666666636,-1.0,-1.0
2019-07-20,-230.0,-199.0,21.09166666666667,23.34020833333333,39.09166666666667,39.09166666666667,2.649999999999995,-14.0,-5.0
2019-07-21,-231.0,-199.0,20.535208333333337,21.225833333333334,38.53520833333334,38.53520833333334,2.383083333333328,-1.0,0.0
2019-07-22,-231.0,-198.0,19.984375,20.9675,37.984375,37.984375,2.2869999999999955,0.0,1.0
2019-07-23,-231.0,-197.0,20.211666666666666,21.469166666666666,38.211666666666666,38.211666666666666,2.2953749999999964,0.0,1.0
2019-07-24,-230.0,-197.0,20.396458333333335,22.0,38.396458333333335,38.396458333333335,2.3204166666666666,1.0,0.0
2019-07-25,-230.0,-197.0,19.361041666666665,21.953333333333333,37.361041666666665,37.361041666666665,2.3037916666666653,0.0,0.0
2019-07-26,-231.0,-197.0,19.054375,21.17604166666667,37.054375,37.054375,2.257916666666663,-1.0,0.0
2019-07-27,-231.0,-197.0,18.499166666666667,21.142291666666665,36.49916666666667,36.49916666666667,2.266291666666657,0.0,0.0
2019-07-28,-231.0,-196.0,18.110208333333333,21.0925,36.11020833333333,36.11020833333333,2.270374999999998,0.0,1.0
2019-07-29,-230.0,-196.0,18.507291666666667,21.67604166666667,36.50729166666667,36.50729166666667,2.2787916666666597,1.0,0.0
2019-07-30,-229.0,-196.0,18.208333333333336,21.786250000000003,36.208333333333336,36.208333333333336,2.295625000000001,1.0,0.0
2019-07-31,-229.0,-196.0,20.061458333333334,22.46458333333333,38.061458333333334,38.061458333333334,2.358208333333341,0.0,0.0
2019-08-01,-229.0,-196.0,20.77770833333333,23.530833333333334,38.77770833333333,38.77770833333333,2.4250000000000007,0.0,0.0
2019-08-02,-229.0,-198.0,22.147083333333335,24.074374999999996,40.147083333333335,40.147083333333335,2.5041666666666664,0.0,-2.0
2019-08-03,-228.0,-198.0,20.259791666666665,23.483125,38.259791666666665,38.259791666666665,2.4916666666666636,1.0,0.0
2019-08-04,-229.0,-198.0,19.06854166666667,22.728749999999998,37.06854166666667,37.06854166666667,2.395833333333332,-1.0,0.0
2019-08-05,-229.0,-198.0,18.513333333333335,22.688541666666666,36.513333333333335,36.513333333333335,2.416666666666668,0.0,0.0
2019-08-06,-229.0,-198.0,18.664166666666667,22.45791666666667,36.66416666666667,36.66416666666667,2.3624999999999936,0.0,0.0
2019-08-07,-229.0,-197.0,19.074999999999996,21.428541666666668,37.074999999999996,37.074999999999996,2.2624999999999993,0.0,1.0
2019-08-08,-229.0,-197.0,18.725833333333334,21.34020833333333,36.725833333333334,36.725833333333334,2.2124999999999986,0.0,0.0
2019-08-09,-229.0,-197.0,19.616458333333334,21.081458333333337,37.616458333333334,37.616458333333334,2.1874999999999964,0.0,0.0
2019-08-10,-229.0,-197.0,20.17729166666667,21.405833333333334,38.17729166666667,38.17729166666667,2.1874999999999964,0.0,0.0
2019-08-11,-248.0,-198.0,19.748958333333334,22.279583333333335,37.748958333333334,37.748958333333334,2.25,-19.0,-1.0
2019-08-12,-249.0,-198.0,19.556041666666665,21.99708333333333,37.556041666666665,37.556041666666665,2.287499999999998,-1.0,0.0
2019-08-13,-249.0,-198.0,18.597708333333337,22.040416666666665,36.59770833333334,36.59770833333334,2.295833333333338,0.0,0.0
2019-08-14,-248.0,-198.0,18.54083333333333,22.110833333333332,36.54083333333333,36.54083333333333,2.25,1.0,0.0
2019-08-15,-248.0,-198.0,18.43333333333333,23.065208333333338,36.43333333333333,36.43333333333333,2.3999999999999986,0.0,0.0
2019-08-16,-245.0,-199.0,22.901428571428575,25.003076923076918,40.901428571428575,40.901428571428575,2.3666666666666636,3.0,-1.0
